Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Denominator,Score,Start_Date,End_Date
10007,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.06,7/1/22,6/30/24
10008,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,4/1/21,3/31/24
10008,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,50,4.3,7/1/23,6/30/24
10008,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10008,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10008,MORT_30_COPD,Death rate for COPD patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10008,MORT_30_HF,Death rate for heart failure patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10008,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,31,15,7/1/21,6/30/24
10008,MORT_30_STK,Death rate for stroke patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10008,PSI_03,Pressure ulcer rate,No Different Than the National Rate,196,0.6,7/1/22,6/30/24
10008,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,215,0.21,7/1/22,6/30/24
10008,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,222,0.27,7/1/22,6/30/24
10008,PSI_09,Postoperative hemorrhage or hematoma rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_11,Postoperative respiratory failure rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_13,Postoperative sepsis rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_14,Postoperative wound dehiscence rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_15,Abdominopelvic accidental puncture or laceration rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10008,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Not Available,Not Applicable,Not Available,7/1/22,6/30/24
10011,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,25,4,4/1/21,3/31/24
10011,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,582,4.1,7/1/23,6/30/24
10011,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,109,12.7,7/1/21,6/30/24
10011,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,64,2.2,7/1/21,6/30/24
10011,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,53,9.1,7/1/21,6/30/24
10011,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,235,14.4,7/1/21,6/30/24
10011,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,268,20.1,7/1/21,6/30/24
10011,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,66,12.8,7/1/21,6/30/24
10011,PSI_03,Pressure ulcer rate,No Different Than the National Rate,2979,0.23,7/1/22,6/30/24
10011,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,43,176.9,7/1/22,6/30/24
10011,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,3432,0.34,7/1/22,6/30/24
10011,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,3549,0.28,7/1/22,6/30/24
10011,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,710,1.95,7/1/22,6/30/24
10011,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,248,1.86,7/1/22,6/30/24
10011,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,253,13.64,7/1/22,6/30/24
10011,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,738,2.7,7/1/22,6/30/24
10011,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,243,6.78,7/1/22,6/30/24
10011,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,152,1.72,7/1/22,6/30/24
10011,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,514,0.96,7/1/22,6/30/24
10011,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.03,7/1/22,6/30/24
10012,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,66,5.3,4/1/21,3/31/24
10012,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,254,4.6,7/1/23,6/30/24
10012,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,43,12.8,7/1/21,6/30/24
10012,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10012,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,25,9.5,7/1/21,6/30/24
10012,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,78,15.9,7/1/21,6/30/24
10012,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,126,19.8,7/1/21,6/30/24
10012,MORT_30_STK,Death rate for stroke patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10012,PSI_03,Pressure ulcer rate,No Different Than the National Rate,631,0.48,7/1/22,6/30/24
10012,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10012,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,1095,0.2,7/1/22,6/30/24
10012,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,1053,0.26,7/1/22,6/30/24
10012,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,209,2.28,7/1/22,6/30/24
10012,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,100,1.66,7/1/22,6/30/24
10012,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,105,11.34,7/1/22,6/30/24
10012,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,212,3.25,7/1/22,6/30/24
10012,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,97,6.04,7/1/22,6/30/24
10012,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,34,1.74,7/1/22,6/30/24
10012,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,103,1.03,7/1/22,6/30/24
10012,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.02,7/1/22,6/30/24
10016,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,46,4.8,4/1/21,3/31/24
10016,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,659,4.3,7/1/23,6/30/24
10016,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,69,14.1,7/1/21,6/30/24
10016,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,31,2.2,7/1/21,6/30/24
10016,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,36,9.4,7/1/21,6/30/24
10016,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,189,10.6,7/1/21,6/30/24
10016,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,203,16.9,7/1/21,6/30/24
10016,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,102,16,7/1/21,6/30/24
10016,PSI_03,Pressure ulcer rate,No Different Than the National Rate,2243,1.01,7/1/22,6/30/24
10016,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,65,142.26,7/1/22,6/30/24
10016,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,2764,0.3,7/1/22,6/30/24
