Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Score,Number_Patients,Number_Patients_Returned,Start_Date,End_Date
50197,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50197,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50197,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,0.8,Not Applicable,Not Applicable,1/1/23,12/31/23
50197,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,13.2,Not Applicable,Not Applicable,7/1/21,6/30/24
50197,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,11.2,Not Applicable,Not Applicable,7/1/21,6/30/24
50197,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,17.8,Not Applicable,Not Applicable,7/1/21,6/30/24
50197,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,19.6,Not Applicable,Not Applicable,7/1/21,6/30/24
50197,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Better Than the National Rate,2.8,Not Applicable,Not Applicable,7/1/21,6/30/24
50197,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,15,Not Applicable,Not Applicable,7/1/21,6/30/24
50204,EDAC_30_AMI,Hospital return days for heart attack patients,Fewer Days Than Average per 100 Discharges,-38.5,75,19,7/1/21,6/30/24
50204,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,28.1,135,54,7/1/21,6/30/24
50204,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,9.3,165,52,7/1/21,6/30/24
50204,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,15,Not Applicable,Not Applicable,7/1/23,6/30/24
50204,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/21,12/31/23
50204,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50204,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50204,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1.2,Not Applicable,Not Applicable,1/1/23,12/31/23
50204,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,13.4,Not Applicable,Not Applicable,7/1/21,6/30/24
50204,READM_30_CABG,Rate of readmission for CABG,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50204,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18.8,Not Applicable,Not Applicable,7/1/21,6/30/24
50204,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,20.6,Not Applicable,Not Applicable,7/1/21,6/30/24
50204,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,4.6,Not Applicable,Not Applicable,7/1/21,6/30/24
50204,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,16.1,Not Applicable,Not Applicable,7/1/21,6/30/24
05020F,EDAC_30_AMI,Hospital return days for heart attack patients,Not Available,Not Available,Not Available,Not Available,7/1/21,6/30/24
05020F,EDAC_30_HF,Hospital return days for heart failure patients,Not Available,Not Available,Not Available,Not Available,7/1/21,6/30/24
05020F,EDAC_30_PN,Hospital return days for pneumonia patients,Not Available,Not Available,Not Available,Not Available,7/1/21,6/30/24
05020F,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Applicable,Not Applicable,7/1/23,6/30/24
05020F,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Applicable,Not Applicable,1/1/21,12/31/23
05020F,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
05020F,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
05020F,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
05020F,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
05020F,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
05020F,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
05020F,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
05020F,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
05020F,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50211,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,7/1/21,6/30/24
50211,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,9.1,86,25,7/1/21,6/30/24
50211,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,-11.7,173,52,7/1/21,6/30/24
50211,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,14.8,Not Applicable,Not Applicable,7/1/23,6/30/24
50211,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Applicable,Not Applicable,1/1/21,12/31/23
50211,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50211,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50211,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Number of cases too small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50211,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50211,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50211,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18.3,Not Applicable,Not Applicable,7/1/21,6/30/24
